Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S02151,23,Female,45,Auditory,8,No,74,82,94,Yes,Medium,17,5,B
S02152,24,Male,18,Reading/Writing,7,Yes,51,66,92,Yes,High,8,9,C
S02153,18,Female,7,Visual,18,Yes,77,66,61,No,Medium,7,4,C
S02154,29,Female,43,Reading/Writing,7,Yes,84,63,69,No,Medium,25,10,C
S02155,18,Female,39,Kinesthetic,16,Yes,80,92,65,Yes,Medium,17,4,A
S02156,23,Female,36,Visual,17,No,63,61,52,No,Low,21,10,C
S02157,24,Female,40,Kinesthetic,5,No,80,80,79,No,Medium,6,4,B
S02158,23,Female,12,Visual,6,Yes,69,92,86,Yes,Medium,21,9,A
S02159,27,Male,33,Visual,15,Yes,98,85,80,No,Low,28,6,A
S02160,29,Male,14,Auditory,16,No,94,63,59,Yes,Low,19,5,C
S02161,25,Female,49,Visual,5,No,88,95,74,Yes,Medium,2,6,A
S02162,18,Male,31,Auditory,4,No,66,43,86,Yes,High,6,10,D
S02163,25,Female,9,Visual,2,Yes,95,78,94,No,High,24,10,B
S02164,25,Female,27,Reading/Writing,3,Yes,59,46,97,No,Low,4,8,D
S02165,27,Male,46,Kinesthetic,13,No,83,50,100,No,Low,11,10,D
S02166,26,Male,32,Reading/Writing,5,Yes,100,55,85,Yes,Medium,14,5,C
S02167,19,Female,34,Kinesthetic,1,No,57,60,53,Yes,Medium,30,7,C
S02168,26,Female,40,Kinesthetic,17,No,63,68,99,Yes,Medium,28,10,C
S02169,24,Female,47,Kinesthetic,0,No,71,85,86,Yes,Medium,9,6,A
S02170,18,Male,16,Visual,19,No,73,80,98,No,Low,18,10,B
S02171,21,Female,30,Visual,11,Yes,79,84,51,Yes,Medium,27,4,B
S02172,22,Female,46,Reading/Writing,15,Yes,92,93,60,No,Medium,21,10,A
S02173,18,Female,45,Reading/Writing,15,No,94,71,98,No,Low,6,8,B
S02174,18,Male,25,Kinesthetic,7,No,81,61,70,Yes,Medium,17,4,C
S02175,21,Female,6,Kinesthetic,0,No,90,76,84,No,Medium,17,5,B
S02176,25,Male,17,Auditory,2,Yes,54,81,84,Yes,Medium,12,9,B
S02177,21,Female,15,Visual,4,Yes,97,51,81,Yes,Medium,0,8,D
S02178,24,Male,49,Visual,8,Yes,83,62,66,Yes,High,6,6,C
S02179,29,Female,44,Kinesthetic,17,Yes,79,53,82,Yes,Medium,28,6,D
S02180,21,Male,31,Visual,19,No,61,44,95,Yes,Medium,3,4,D
S02181,19,Male,17,Kinesthetic,18,No,78,73,61,Yes,Medium,11,10,B
S02182,26,Female,17,Visual,5,No,60,84,70,Yes,Medium,9,10,B
S02183,25,Male,13,Reading/Writing,15,No,66,77,69,No,Medium,23,6,B
S02184,27,Male,48,Auditory,5,Yes,75,64,55,Yes,Medium,0,7,C
S02185,22,Male,39,Visual,2,No,92,64,57,Yes,High,14,6,C
S02186,19,Female,7,Kinesthetic,5,Yes,82,55,52,Yes,Medium,6,7,C
S02187,19,Male,25,Reading/Writing,17,No,71,70,74,No,Medium,16,9,B
S02188,20,Female,6,Visual,5,Yes,65,74,51,No,High,24,8,B
S02189,20,Male,22,Visual,20,No,80,49,54,Yes,Medium,20,4,D
S02190,19,Female,47,Visual,20,Yes,83,80,72,Yes,Low,20,9,B
S02191,29,Male,13,Visual,12,No,57,51,71,Yes,Medium,21,8,D
S02192,24,Male,41,Reading/Writing,6,Yes,74,97,87,Yes,Medium,28,5,A
S02193,18,Female,15,Visual,18,No,63,94,95,No,High,20,9,A
S02194,29,Male,5,Kinesthetic,9,Yes,59,95,58,Yes,Medium,12,7,A
S02195,29,Female,27,Visual,18,No,93,55,64,Yes,Medium,11,7,C
S02196,22,Female,42,Kinesthetic,14,No,70,94,51,Yes,Low,24,9,A
S02197,27,Male,23,Reading/Writing,12,Yes,92,67,60,No,Low,19,4,C
S02198,26,Male,8,Kinesthetic,18,Yes,75,66,76,Yes,Medium,13,6,C
S02199,24,Male,30,Reading/Writing,6,Yes,84,90,89,Yes,Low,17,8,A
S02200,25,Male,20,Kinesthetic,0,No,53,94,58,Yes,High,26,4,A
S02201,25,Male,6,Visual,1,Yes,60,72,53,Yes,Medium,20,7,B
S02202,29,Male,22,Reading/Writing,14,No,73,45,54,Yes,Low,1,6,D
S02203,25,Male,10,Visual,0,Yes,82,62,83,Yes,High,30,10,C
S02204,27,Female,45,Kinesthetic,18,Yes,88,51,71,Yes,High,28,8,D
S02205,20,Male,46,Kinesthetic,0,No,71,55,70,Yes,Low,15,6,C
S02206,23,Female,44,Auditory,3,No,91,76,81,No,Medium,16,6,B
S02207,24,Male,6,Auditory,9,Yes,87,91,52,Yes,High,17,8,A
S02208,27,Female,18,Visual,17,Yes,71,85,90,Yes,Medium,24,5,A
S02209,23,Female,45,Reading/Writing,4,Yes,64,61,58,Yes,Medium,8,8,C
S02210,24,Female,18,Visual,13,Yes,96,45,88,No,Medium,24,4,D
S02211,19,Female,21,Kinesthetic,3,No,51,65,74,Yes,Low,22,9,C
S02212,19,Male,13,Visual,15,Yes,91,75,69,Yes,High,9,10,B
S02213,21,Male,40,Auditory,4,Yes,67,90,83,No,Low,19,5,A
S02214,26,Female,16,Kinesthetic,16,Yes,61,61,82,Yes,Low,27,9,C
S02215,27,Male,31,Auditory,9,No,58,93,68,Yes,Medium,4,7,A
S02216,25,Female,29,Kinesthetic,5,Yes,64,100,62,No,Medium,1,10,A
S02217,19,Male,35,Visual,20,No,60,83,59,Yes,High,17,5,B
S02218,27,Female,32,Visual,7,No,71,73,66,Yes,Medium,5,8,B
S02219,24,Female,25,Visual,17,No,88,51,84,Yes,Low,3,7,D
S02220,19,Female,28,Kinesthetic,17,Yes,73,97,55,No,Medium,0,8,A
S02221,27,Female,44,Visual,18,Yes,73,75,70,No,Low,28,6,B
S02222,22,Female,32,Kinesthetic,5,No,75,49,73,Yes,High,21,10,D
S02223,27,Male,48,Reading/Writing,18,No,61,79,80,Yes,High,23,4,B
S02224,22,Male,19,Auditory,10,No,62,88,92,Yes,Low,5,8,A
S02225,26,Female,35,Visual,12,No,92,56,61,Yes,Low,15,9,C
S02226,20,Male,28,Auditory,17,No,81,76,72,No,Medium,6,9,B
S02227,24,Other,9,Auditory,10,Yes,54,48,93,No,Medium,3,9,D
S02228,20,Male,6,Auditory,1,Yes,70,79,92,No,Medium,8,4,B
S02229,22,Other,46,Auditory,10,Yes,51,93,85,Yes,Low,15,10,A
S02230,21,Male,33,Kinesthetic,19,Yes,81,64,87,No,High,17,8,C
S02231,24,Male,18,Reading/Writing,4,No,65,56,91,Yes,Medium,1,5,C
S02232,27,Female,49,Kinesthetic,3,Yes,93,97,75,No,Medium,22,8,A
S02233,20,Male,42,Auditory,19,No,78,70,93,Yes,High,2,6,B
S02234,29,Male,36,Visual,2,No,63,83,74,Yes,High,24,10,B
S02235,20,Female,10,Kinesthetic,13,Yes,71,95,65,Yes,Medium,9,4,A
S02236,20,Male,17,Kinesthetic,4,Yes,77,84,98,Yes,Medium,15,4,B
S02237,26,Male,13,Visual,16,Yes,99,94,73,Yes,Medium,14,8,A
S02238,22,Male,14,Visual,18,No,63,51,54,No,Medium,20,7,D
S02239,29,Male,34,Auditory,8,Yes,95,63,70,No,Medium,27,8,C
S02240,23,Female,38,Visual,12,No,52,49,74,No,Medium,25,8,D
S02241,23,Female,41,Auditory,8,Yes,75,80,57,Yes,Medium,6,9,B
S02242,23,Male,31,Kinesthetic,11,Yes,57,60,91,Yes,High,24,6,C
S02243,28,Female,21,Visual,2,No,72,61,92,Yes,Low,24,10,C
S02244,27,Female,33,Visual,15,Yes,63,49,52,Yes,Low,16,4,D
S02245,21,Male,11,Visual,14,Yes,53,82,64,Yes,Low,30,7,B
S02246,18,Female,15,Reading/Writing,9,Yes,60,92,50,Yes,Medium,25,6,A
S02247,20,Female,32,Reading/Writing,11,No,62,60,88,Yes,Medium,6,6,C
S02248,22,Male,8,Visual,4,No,84,100,92,Yes,Low,16,9,A
S02249,28,Male,5,Reading/Writing,7,Yes,67,57,64,No,Medium,12,5,C
S02250,20,Male,39,Reading/Writing,6,No,80,71,53,Yes,High,5,5,B
S02251,19,Female,43,Kinesthetic,4,No,82,82,94,Yes,High,6,10,B
S02252,19,Male,48,Reading/Writing,12,Yes,54,53,73,Yes,Medium,15,4,D
S02253,29,Male,18,Kinesthetic,16,Yes,56,76,60,No,Medium,13,8,B
S02254,25,Female,39,Auditory,10,Yes,56,93,90,Yes,Medium,27,10,A
S02255,22,Female,17,Reading/Writing,20,No,53,93,72,Yes,High,25,10,A
S02256,29,Male,15,Visual,5,Yes,85,94,81,No,Medium,10,10,A
S02257,19,Other,47,Auditory,15,Yes,84,48,71,No,Medium,6,9,D
S02258,20,Female,46,Kinesthetic,13,Yes,88,79,77,Yes,Medium,10,6,B
S02259,28,Female,19,Auditory,17,No,67,66,71,Yes,Medium,4,10,C
S02260,22,Male,24,Kinesthetic,10,No,79,47,61,No,Medium,11,5,D
S02261,19,Female,11,Visual,15,No,80,53,62,Yes,Low,7,5,D
S02262,29,Male,49,Visual,17,No,54,98,92,No,High,7,5,A
S02263,25,Female,39,Kinesthetic,1,Yes,89,45,70,Yes,Medium,6,10,D
S02264,22,Female,40,Reading/Writing,2,No,75,60,59,Yes,Low,19,9,C
S02265,29,Female,39,Reading/Writing,20,No,69,66,99,No,High,30,7,C
S02266,19,Female,5,Kinesthetic,17,Yes,80,60,52,Yes,Medium,26,8,C
S02267,26,Female,22,Reading/Writing,18,No,61,88,63,No,Medium,1,8,A
S02268,26,Male,49,Kinesthetic,17,Yes,100,66,54,Yes,High,10,8,C
S02269,28,Female,32,Kinesthetic,14,No,84,78,55,No,Medium,17,8,B
S02270,18,Male,10,Kinesthetic,0,Yes,52,85,64,Yes,Low,18,7,A
S02271,28,Male,37,Reading/Writing,3,No,72,100,99,No,Medium,12,4,A
S02272,21,Male,44,Reading/Writing,17,No,56,91,91,Yes,Low,17,9,A
S02273,19,Male,5,Visual,17,No,92,98,76,Yes,Low,6,10,A
S02274,19,Female,49,Visual,11,No,68,53,99,Yes,Medium,8,6,D
S02275,22,Male,49,Auditory,19,Yes,85,49,65,No,Medium,5,10,D
S02276,29,Male,5,Auditory,17,No,98,54,88,Yes,Medium,10,8,D
S02277,28,Female,25,Visual,5,No,67,79,95,Yes,Medium,19,9,B
S02278,23,Male,10,Kinesthetic,4,No,93,100,70,Yes,Low,28,9,A
S02279,20,Male,28,Kinesthetic,9,Yes,72,40,96,Yes,Medium,12,4,D
S02280,24,Female,40,Visual,1,Yes,88,46,70,Yes,Low,27,9,D
S02281,21,Other,34,Reading/Writing,20,Yes,57,99,83,Yes,High,16,4,A
S02282,25,Male,42,Visual,0,Yes,54,71,67,No,High,30,7,B
S02283,22,Male,31,Auditory,10,Yes,91,70,84,Yes,Medium,27,7,B
S02284,27,Female,41,Kinesthetic,3,Yes,94,49,58,Yes,High,24,5,D
S02285,18,Female,39,Kinesthetic,12,Yes,100,57,63,Yes,Low,14,9,C
S02286,27,Female,11,Reading/Writing,17,No,56,63,57,Yes,Low,11,8,C
S02287,18,Male,47,Kinesthetic,14,No,79,70,77,Yes,Medium,11,9,B
S02288,25,Female,48,Auditory,10,Yes,92,92,83,Yes,Medium,6,10,A
S02289,28,Female,17,Reading/Writing,18,No,71,56,90,No,Medium,3,5,C
S02290,26,Male,38,Kinesthetic,19,Yes,85,41,58,Yes,Low,9,6,D
S02291,25,Female,32,Visual,13,No,97,41,52,No,Medium,28,9,D
S02292,19,Male,40,Visual,6,Yes,66,81,83,No,Medium,15,7,B
S02293,26,Male,36,Auditory,16,Yes,69,64,55,Yes,Medium,21,7,C
S02294,29,Male,18,Reading/Writing,12,Yes,53,64,73,No,Medium,4,9,C
S02295,29,Female,17,Kinesthetic,9,Yes,57,73,88,Yes,Low,12,6,B
S02296,18,Male,20,Reading/Writing,3,Yes,74,91,97,No,Medium,30,10,A
S02297,19,Female,28,Auditory,7,No,73,94,91,Yes,Low,19,8,A
S02298,25,Male,17,Visual,13,Yes,88,54,73,Yes,Medium,13,8,D
S02299,26,Male,6,Auditory,5,Yes,56,65,81,No,Low,5,4,C
S02300,28,Male,34,Reading/Writing,6,Yes,63,60,63,No,Medium,12,8,C
S02301,21,Male,45,Auditory,14,Yes,99,64,75,Yes,Medium,14,4,C
S02302,21,Female,35,Reading/Writing,9,Yes,70,95,65,Yes,Medium,20,6,A
S02303,22,Female,44,Reading/Writing,5,No,56,75,81,No,High,27,5,B
S02304,28,Male,24,Reading/Writing,9,Yes,61,72,69,No,Medium,12,8,B
S02305,19,Female,14,Kinesthetic,0,Yes,75,79,97,Yes,Medium,12,5,B
S02306,22,Female,40,Visual,18,Yes,61,68,92,Yes,High,17,6,C
S02307,21,Female,14,Kinesthetic,20,No,64,49,52,Yes,Low,20,10,D
S02308,22,Male,46,Kinesthetic,9,Yes,90,49,77,Yes,Low,17,8,D
S02309,21,Male,28,Reading/Writing,6,Yes,62,53,98,No,Medium,1,6,D
S02310,27,Female,41,Reading/Writing,1,No,86,43,80,Yes,Medium,9,6,D
S02311,19,Female,24,Auditory,15,Yes,62,97,86,Yes,High,2,7,A
S02312,29,Male,30,Auditory,12,No,64,94,73,Yes,Low,29,4,A
S02313,27,Male,42,Visual,17,Yes,96,44,78,Yes,Medium,2,10,D
S02314,24,Female,18,Auditory,6,No,97,42,96,Yes,Low,22,7,D
S02315,29,Female,14,Auditory,19,Yes,78,77,67,Yes,Medium,4,8,B
S02316,25,Female,34,Visual,2,Yes,100,79,67,Yes,High,26,4,B
S02317,27,Male,41,Kinesthetic,16,Yes,70,61,98,Yes,High,21,6,C
S02318,27,Female,22,Reading/Writing,15,Yes,53,45,87,Yes,Medium,20,9,D
S02319,28,Female,26,Kinesthetic,11,Yes,80,48,53,Yes,High,20,9,D
S02320,21,Female,40,Visual,9,No,52,47,80,Yes,High,4,5,D
S02321,19,Female,7,Reading/Writing,12,No,65,40,75,Yes,Low,7,5,D
S02322,29,Other,10,Reading/Writing,7,Yes,94,86,76,Yes,High,2,10,A
S02323,23,Female,15,Kinesthetic,13,No,92,65,82,No,Low,0,10,C
S02324,22,Female,48,Auditory,4,Yes,95,73,59,Yes,Medium,15,9,B
S02325,27,Male,22,Visual,1,Yes,55,56,92,Yes,Medium,6,7,C
S02326,26,Female,45,Kinesthetic,20,Yes,84,61,86,Yes,Low,8,5,C
S02327,29,Male,46,Kinesthetic,13,Yes,70,43,87,Yes,Medium,12,6,D
S02328,22,Female,49,Kinesthetic,15,Yes,98,81,72,Yes,Low,26,5,B
S02329,24,Male,8,Reading/Writing,13,No,80,52,71,Yes,Low,8,10,D
S02330,29,Male,33,Reading/Writing,19,Yes,94,40,54,Yes,Low,17,4,D
S02331,21,Male,8,Auditory,0,No,87,48,57,Yes,Medium,3,10,D
S02332,18,Male,19,Auditory,19,Yes,65,74,55,Yes,Medium,17,9,B
S02333,25,Female,47,Reading/Writing,5,No,51,49,88,No,Low,20,5,D
S02334,28,Female,9,Reading/Writing,17,Yes,55,74,100,Yes,Medium,14,10,B
S02335,22,Male,36,Kinesthetic,17,Yes,53,42,62,No,Medium,13,8,D
S02336,24,Male,37,Kinesthetic,14,No,66,79,69,Yes,Medium,9,6,B
S02337,21,Male,26,Auditory,7,No,68,50,81,Yes,Medium,15,4,D
S02338,23,Male,8,Visual,3,Yes,83,53,69,No,Low,25,5,D
S02339,23,Male,11,Visual,0,No,72,77,66,No,Low,25,7,B
S02340,22,Female,11,Reading/Writing,15,No,91,40,94,Yes,Low,22,10,D
S02341,29,Female,8,Auditory,13,No,96,87,91,Yes,Low,25,4,A
S02342,28,Male,48,Auditory,10,No,83,94,96,Yes,Medium,25,6,A
S02343,27,Female,43,Reading/Writing,6,No,85,43,77,Yes,Medium,19,8,D
S02344,20,Male,9,Kinesthetic,13,Yes,81,52,62,No,Medium,6,7,D
S02345,22,Male,21,Reading/Writing,14,No,81,62,85,Yes,Medium,9,9,C
S02346,19,Female,6,Kinesthetic,18,No,68,89,76,Yes,Medium,28,10,A
S02347,20,Male,13,Reading/Writing,17,Yes,68,96,54,No,Medium,17,5,A
S02348,24,Female,18,Kinesthetic,3,Yes,86,54,80,Yes,Medium,7,4,D
S02349,18,Male,42,Auditory,7,Yes,96,63,77,No,Medium,2,5,C
S02350,27,Female,6,Kinesthetic,16,Yes,80,77,86,Yes,Low,7,7,B
S02351,22,Male,27,Reading/Writing,18,Yes,91,82,90,Yes,Low,15,5,B
S02352,22,Female,20,Reading/Writing,9,Yes,88,99,75,No,High,17,5,A
S02353,23,Female,36,Kinesthetic,7,Yes,71,74,87,Yes,Medium,12,6,B
S02354,25,Female,6,Auditory,9,Yes,91,71,53,Yes,High,27,10,B
S02355,29,Male,9,Visual,2,No,80,41,86,No,High,10,10,D
S02356,19,Female,33,Reading/Writing,15,No,90,55,62,Yes,Low,14,9,C
S02357,28,Female,43,Auditory,9,No,52,91,89,No,Medium,8,10,A
S02358,26,Male,30,Auditory,6,Yes,52,41,68,Yes,High,8,8,D
S02359,28,Female,39,Reading/Writing,19,No,99,92,52,No,Medium,30,8,A
S02360,19,Male,30,Reading/Writing,1,No,66,90,97,Yes,Low,7,4,A
S02361,18,Male,45,Auditory,6,Yes,56,54,97,No,Low,23,8,D
S02362,28,Female,33,Visual,0,Yes,73,64,65,Yes,Medium,5,9,C
S02363,29,Male,22,Auditory,3,No,51,42,92,Yes,High,19,10,D
S02364,22,Female,13,Kinesthetic,1,Yes,65,70,75,Yes,High,0,10,B
S02365,21,Male,47,Reading/Writing,1,Yes,71,86,72,Yes,Medium,27,9,A
S02366,28,Male,48,Auditory,3,Yes,78,86,61,Yes,High,10,7,A
S02367,22,Female,24,Visual,2,Yes,74,90,75,Yes,High,25,9,A
S02368,20,Male,7,Visual,9,Yes,84,55,84,No,Medium,14,10,C
S02369,28,Female,5,Auditory,4,No,81,94,58,No,Low,15,5,A
S02370,26,Female,24,Visual,8,Yes,81,60,63,Yes,Medium,18,8,C
S02371,24,Other,42,Auditory,11,Yes,88,73,71,Yes,Low,3,8,B
S02372,18,Male,36,Visual,9,Yes,78,66,99,Yes,Medium,1,9,C
S02373,25,Female,48,Auditory,10,Yes,86,93,72,Yes,Medium,2,10,A
S02374,19,Female,46,Reading/Writing,12,Yes,90,54,52,Yes,High,11,7,D
S02375,24,Male,32,Kinesthetic,15,Yes,87,62,83,Yes,Medium,26,7,C
S02376,18,Female,16,Auditory,9,Yes,78,49,94,Yes,Medium,2,6,D
S02377,23,Female,21,Reading/Writing,6,Yes,68,70,81,Yes,Medium,20,10,B
S02378,22,Other,44,Visual,13,No,89,88,78,Yes,High,9,8,A
S02379,25,Female,48,Kinesthetic,17,No,57,96,84,Yes,High,29,5,A
S02380,25,Female,22,Kinesthetic,5,No,94,78,79,No,Medium,22,7,B
S02381,19,Female,6,Auditory,9,Yes,91,55,73,Yes,Low,25,10,C
S02382,28,Male,34,Visual,10,No,89,97,80,Yes,Low,1,6,A
S02383,18,Male,30,Kinesthetic,6,No,88,62,99,Yes,Medium,3,6,C
S02384,21,Female,7,Reading/Writing,5,Yes,94,48,58,Yes,Medium,22,8,D
S02385,20,Male,47,Visual,10,Yes,96,93,55,Yes,Medium,2,9,A
S02386,28,Female,29,Auditory,3,Yes,95,43,57,Yes,Medium,8,7,D
S02387,24,Female,26,Visual,5,Yes,77,50,81,Yes,Medium,29,10,D
S02388,27,Male,9,Auditory,15,Yes,94,62,66,No,High,29,8,C
S02389,27,Male,32,Auditory,2,Yes,98,99,75,Yes,Medium,14,8,A
S02390,27,Male,12,Auditory,19,No,62,65,50,Yes,High,4,6,C
S02391,27,Female,6,Auditory,13,Yes,72,84,67,Yes,Medium,6,4,B
S02392,20,Female,23,Kinesthetic,18,Yes,82,81,92,No,Medium,17,5,B
S02393,22,Other,27,Visual,6,Yes,99,76,77,No,Low,5,4,B
S02394,24,Other,9,Reading/Writing,16,Yes,96,85,60,Yes,Low,22,8,A
S02395,19,Male,6,Visual,4,No,66,89,77,Yes,Medium,7,9,A
S02396,19,Male,48,Reading/Writing,0,Yes,53,72,77,Yes,High,24,8,B
S02397,21,Male,38,Visual,12,Yes,96,77,74,Yes,Low,26,6,B
S02398,24,Male,16,Kinesthetic,3,Yes,74,61,92,Yes,Medium,12,8,C
S02399,20,Male,7,Auditory,1,Yes,95,57,88,No,Medium,30,10,C
S02400,29,Male,41,Reading/Writing,11,No,81,82,84,Yes,Low,12,9,B
S02401,18,Male,17,Kinesthetic,18,No,72,73,74,No,Medium,19,8,B
S02402,25,Male,5,Reading/Writing,17,No,93,82,98,Yes,High,7,7,B
S02403,19,Other,44,Auditory,16,Yes,56,95,76,Yes,Medium,9,5,A
S02404,26,Male,7,Visual,9,Yes,60,45,86,Yes,High,20,6,D
S02405,28,Male,13,Auditory,5,No,54,75,62,No,High,30,7,B
S02406,20,Male,13,Reading/Writing,7,Yes,52,64,73,Yes,Medium,20,4,C
S02407,24,Male,8,Kinesthetic,17,Yes,69,89,53,Yes,Medium,28,6,A
S02408,27,Female,7,Auditory,13,Yes,84,93,64,Yes,Medium,13,10,A
S02409,22,Male,41,Auditory,18,Yes,68,98,64,No,Low,10,5,A
S02410,18,Female,19,Reading/Writing,3,No,57,47,77,Yes,Medium,12,7,D
S02411,26,Female,35,Auditory,5,No,68,86,91,Yes,High,4,4,A
S02412,20,Female,16,Visual,5,Yes,56,50,78,Yes,Medium,28,4,D
S02413,23,Male,49,Reading/Writing,7,Yes,60,64,58,No,Low,1,6,C
S02414,26,Female,11,Auditory,5,No,79,42,96,Yes,Low,19,5,D
S02415,29,Female,13,Kinesthetic,17,Yes,91,84,68,Yes,High,1,7,B
S02416,23,Male,46,Reading/Writing,17,Yes,92,43,95,No,Medium,6,6,D
S02417,22,Female,41,Visual,5,Yes,59,87,89,Yes,High,15,10,A
S02418,25,Male,8,Auditory,3,Yes,55,94,81,Yes,Low,5,5,A
S02419,18,Male,31,Reading/Writing,20,Yes,51,47,59,No,Medium,5,4,D
S02420,25,Female,24,Auditory,8,No,76,66,94,Yes,Low,3,10,C
S02421,19,Female,38,Auditory,11,Yes,97,45,88,Yes,Medium,13,8,D
S02422,26,Female,8,Kinesthetic,11,Yes,90,48,69,No,Low,25,8,D
S02423,24,Female,49,Kinesthetic,14,Yes,54,93,61,No,Medium,16,5,A
S02424,18,Other,40,Kinesthetic,17,No,81,91,52,Yes,High,17,10,A
S02425,20,Male,43,Kinesthetic,8,No,70,98,66,No,Medium,1,7,A
S02426,29,Female,43,Visual,14,Yes,51,46,63,Yes,Medium,3,6,D
S02427,26,Male,16,Auditory,7,No,86,67,56,No,High,16,4,C
S02428,26,Female,26,Reading/Writing,1,No,50,86,81,No,High,30,7,A
S02429,27,Other,29,Kinesthetic,14,Yes,59,100,71,Yes,High,14,5,A
S02430,20,Male,43,Reading/Writing,19,Yes,85,50,87,Yes,Medium,23,9,D
S02431,18,Female,49,Visual,12,No,96,94,58,No,Medium,21,8,A
S02432,23,Other,8,Visual,14,Yes,75,47,97,Yes,High,17,9,D
S02433,23,Male,22,Reading/Writing,16,Yes,79,53,67,No,Medium,3,6,D
S02434,18,Male,37,Auditory,1,Yes,60,79,92,Yes,Medium,0,9,B
S02435,28,Female,32,Auditory,10,Yes,58,96,50,Yes,Medium,4,10,A
S02436,18,Female,42,Reading/Writing,2,Yes,83,73,84,Yes,High,9,4,B
S02437,26,Female,28,Visual,1,Yes,76,44,53,Yes,Low,11,5,D
S02438,19,Male,45,Auditory,10,No,92,43,87,No,Medium,30,4,D
S02439,19,Male,22,Kinesthetic,0,Yes,60,94,91,Yes,Low,25,7,A
S02440,27,Male,48,Kinesthetic,15,No,93,75,91,Yes,Medium,20,4,B
S02441,28,Male,38,Auditory,11,Yes,88,85,80,No,High,23,10,A
S02442,24,Male,23,Auditory,20,Yes,90,74,85,Yes,Low,13,5,B
S02443,26,Male,46,Visual,9,No,99,45,77,Yes,Medium,25,10,D
S02444,24,Male,42,Auditory,1,Yes,75,69,65,No,Low,6,8,C
S02445,28,Male,22,Reading/Writing,6,No,80,41,69,No,Medium,3,8,D
S02446,26,Male,45,Kinesthetic,2,Yes,61,49,74,No,Medium,11,4,D
S02447,21,Female,49,Visual,7,No,62,57,68,Yes,Medium,19,5,C
S02448,29,Male,24,Kinesthetic,17,Yes,76,58,76,No,Low,23,6,C
S02449,18,Male,46,Auditory,12,No,51,44,75,Yes,Medium,27,6,D
S02450,28,Other,25,Visual,12,Yes,100,55,65,Yes,High,30,7,C
S02451,27,Female,10,Reading/Writing,13,No,73,94,55,Yes,Low,23,9,A
S02452,21,Male,41,Auditory,13,No,84,53,55,Yes,Medium,17,6,D
S02453,20,Female,7,Auditory,5,Yes,79,87,97,Yes,High,7,5,A
S02454,19,Male,19,Auditory,13,Yes,87,88,60,Yes,Medium,25,10,A
S02455,18,Female,47,Auditory,0,Yes,58,68,58,Yes,High,27,5,C
S02456,21,Female,19,Reading/Writing,17,Yes,71,42,61,Yes,Low,7,10,D
S02457,21,Male,35,Reading/Writing,12,Yes,65,64,96,No,Low,27,4,C
S02458,18,Male,12,Kinesthetic,12,No,87,81,94,No,Medium,2,10,B
S02459,18,Male,6,Visual,9,Yes,54,66,98,Yes,Low,18,7,C
S02460,23,Female,35,Auditory,13,Yes,75,58,70,Yes,Medium,19,6,C
S02461,29,Male,47,Auditory,3,No,74,64,87,Yes,Low,6,10,C
S02462,25,Male,20,Kinesthetic,20,No,64,52,61,Yes,Medium,29,7,D
S02463,25,Male,32,Auditory,16,No,62,74,68,Yes,Medium,15,7,B
S02464,23,Female,16,Visual,7,No,87,58,84,Yes,Medium,1,6,C
S02465,22,Male,26,Reading/Writing,13,No,96,90,80,Yes,Medium,4,8,A
S02466,21,Female,16,Kinesthetic,0,Yes,58,77,60,Yes,Medium,5,4,B
S02467,28,Male,34,Visual,11,Yes,97,80,61,Yes,Low,16,10,B
S02468,28,Female,43,Reading/Writing,11,Yes,61,40,79,Yes,Low,19,7,D
S02469,24,Male,9,Visual,0,Yes,73,93,52,No,Medium,16,9,A
S02470,27,Male,15,Visual,17,No,75,90,82,Yes,Low,30,6,A
S02471,23,Female,48,Kinesthetic,20,No,61,94,83,Yes,Low,17,10,A
S02472,20,Male,7,Visual,9,Yes,85,67,61,No,Medium,10,5,C
S02473,24,Female,44,Kinesthetic,1,No,56,88,83,No,High,28,5,A
S02474,19,Male,12,Visual,3,Yes,51,88,54,No,Medium,17,9,A
S02475,27,Female,22,Kinesthetic,17,Yes,91,99,61,Yes,High,20,8,A
S02476,24,Male,42,Auditory,16,No,75,43,70,Yes,Medium,18,9,D
S02477,18,Female,16,Auditory,0,Yes,91,87,89,Yes,High,5,5,A
S02478,20,Female,19,Auditory,15,Yes,100,72,90,Yes,High,20,5,B
S02479,21,Male,40,Kinesthetic,13,Yes,53,99,70,Yes,Medium,7,4,A
S02480,23,Male,28,Visual,19,Yes,80,79,64,Yes,Low,27,7,B
S02481,20,Male,20,Auditory,14,Yes,51,99,63,Yes,High,13,8,A
S02482,23,Male,31,Kinesthetic,5,Yes,80,57,56,Yes,Medium,4,10,C
S02483,21,Female,17,Visual,11,No,60,78,57,No,Low,9,7,B
S02484,20,Male,44,Kinesthetic,4,No,77,98,91,Yes,Medium,30,4,A
S02485,28,Female,39,Visual,2,Yes,93,42,97,Yes,Medium,25,8,D
S02486,20,Female,14,Kinesthetic,0,No,64,52,58,Yes,Medium,14,7,D
